[[-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]]
[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]]
[[0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]]
[[0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]]
[[0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]
 [0.    0.236]]
[[0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]
 [0.    0.079]]
[[0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]]
[[0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]]
[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]
[[0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]]
[[ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]]
[[-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]]
[[ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]
 [ 0.    -0.236]]
[[ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]
 [ 0.    -0.157]]
[[-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]]
[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]
[[0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]]
[[0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]
 [0.    0.157]]
[[0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]
 [0.1  1.57]]
